Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-FL,FL-7,1848500,1626650,131074250,3216325,12218300,42293000,12274000,526185000,7061100,7818975,17135250,1404850,2754200
US,US-FL,FL-8,1546500,1360900,109661000,2690875,10222200,35383000,10268500,440220000,5907600,6541575,14335500,1175350,2304200
US,US-FL,FL-9,2045300,1799850,145029250,3558750,13519200,46796000,13580500,582202500,7812900,8651475,18959250,1554400,3047400
US,US-GA,GA-1,907900,798950,64377500,1579700,6001100,20772000,6028500,258435000,3468100,3840300,8415750,690000,1352800
US,US-GA,GA-10,940800,827900,66710000,1636950,6218500,21525000,6246500,267802500,3593700,3979425,8721000,715000,1401800
US,US-GA,GA-11,1056000,929300,74882000,1837475,6980300,24162000,7012000,300607500,4034000,4466925,9789000,802550,1573400
US,US-GA,GA-12,842400,741300,59732500,1465725,5568100,19273000,5593500,239790000,3217900,3563250,7809000,640200,1255200
US,US-GA,GA-13,1810800,1593550,128406500,3150850,11969600,41432000,12024000,515475000,6917400,7659825,16786500,1376250,2698200
US,US-GA,GA-14,806700,709900,57203750,1403675,5332400,18458000,5356500,229635000,3081600,3412350,7478250,613100,1202000
US,US-GA,GA-2,869900,765500,61683750,1513600,5750000,19903000,5776000,247620000,3323000,3679650,8064000,661100,1296200
US,US-GA,GA-3,1037700,913150,73580500,1805525,6858900,23742000,6890000,295380000,3963900,4389300,9618750,788600,1546200
US,US-GA,GA-4,1252200,1101950,88792750,2178800,8277000,28650000,8314500,356445000,4783400,5296725,11607750,951650,1865800
US,US-GA,GA-5,3080400,2710750,218429750,5359875,20361300,70479000,20453500,876862500,11767100,13030050,28555500,2341100,4589800
US,US-GA,GA-6,2448500,2154700,173626500,4260475,16184900,56023000,16258500,697005000,9353400,10357350,22698000,1860900,3648400
US,US-GA,GA-7,1636300,1439900,116028250,2847125,10815800,37438000,10865000,465780000,6250600,6921450,15168000,1243550,2438000
US,US-GA,GA-8,651000,572850,46160500,1132700,4302900,14894000,4322500,185310000,2486700,2753625,6034500,494750,970000
US,US-GA,GA-9,1052800,926500,74656250,1831925,6959200,24089000,6991000,299700000,4021800,4453500,9759750,800150,1568800
US,US-HI,HI-1,469200,412850,33268500,816350,3101200,10735000,3115500,133552500,1792200,1984575,4349250,356550,699000
US,US-HI,HI-2,403500,355050,28610500,702050,2667000,9231000,2679000,114855000,1541300,1706700,3740250,306650,601200
US,US-IA,IA-1,4046900,3561300,286966000,7041625,26750000,92593000,26871500,1151992500,15459200,17118375,37515000,3075650,6029800
